Temperature_C,Humidity_Pct,Soil_Moisture_Pct,Plant_Risk_Level
30.67,71.14,35.81,Medium Risk
29.2,62.8,65.14,Medium Risk
25.05,70.11,25.71,Medium Risk
27.5,60.12,22.27,Low Risk
38.81,53.51,47.63,Medium Risk
40.33,50.35,11.74,High Risk
22.5,63.71,24.46,Low Risk
23.94,32.94,59.19,Medium Risk
22.46,80.89,66.02,Medium Risk
28.55,74.51,17.95,Medium Risk
35.8,41.77,73.8,Medium Risk
23.69,60.15,66.73,Low Risk
25.87,28.8,69.53,Medium Risk
43.41,90.0,61.61,Medium Risk
16.4,83.73,56.66,Medium Risk
27.47,85.01,46.35,Medium Risk
35.42,41.91,57.85,High Risk
20.41,31.62,75.33,Medium Risk
15.87,35.47,20.34,Medium Risk
18.66,27.59,32.48,Medium Risk
42.45,28.24,14.48,High Risk
15.0,26.93,75.22,Medium Risk
19.79,89.3,38.4,Medium Risk
15.9,26.61,56.86,Medium Risk
17.69,28.4,70.6,Medium Risk
33.09,74.65,80.0,Medium Risk
21.7,61.1,21.36,Medium Risk
32.44,75.51,64.47,Medium Risk
32.54,65.2,72.46,Medium Risk
40.36,82.51,14.94,High Risk
15.56,64.07,63.43,Medium Risk
40.5,55.1,35.08,Medium Risk
33.38,70.89,54.21,Medium Risk
20.21,52.09,47.28,Low Risk
38.66,43.21,23.48,High Risk
40.56,54.73,20.04,High Risk
22.68,30.29,22.04,Medium Risk
42.02,74.71,14.97,High Risk
28.03,41.19,54.28,Medium Risk
33.64,32.31,34.59,Medium Risk
44.85,36.6,24.47,High Risk
26.16,79.46,59.99,Low Risk
39.59,43.39,58.79,Medium Risk
24.58,63.08,47.97,Low Risk
39.46,78.32,76.64,Medium Risk
33.68,25.35,37.0,Medium Risk
22.13,72.91,73.28,Medium Risk
27.35,41.98,15.49,Low Risk
25.5,37.2,62.08,Medium Risk
17.5,67.64,76.63,Medium Risk
16.34,81.78,68.45,Medium Risk
25.59,41.24,52.3,Medium Risk
15.74,59.23,51.87,Medium Risk
19.45,40.01,31.49,Medium Risk
37.25,58.27,57.61,Medium Risk
38.23,67.57,65.98,Medium Risk
36.9,58.69,79.94,High Risk
24.56,62.95,43.97,Medium Risk
41.39,29.45,11.5,High Risk
32.47,67.14,52.39,Medium Risk
19.86,68.85,19.32,Medium Risk
18.84,69.25,24.46,Medium Risk
35.46,25.1,34.72,Medium Risk
19.08,50.79,62.32,Medium Risk
29.69,48.43,24.57,Medium Risk
43.56,25.88,22.48,High Risk
15.56,35.42,14.13,Medium Risk
17.46,50.53,71.91,Medium Risk
44.54,72.46,59.85,Medium Risk
31.37,37.95,10.07,Medium Risk
19.44,75.87,10.0,Medium Risk
41.41,56.31,48.0,Medium Risk
42.32,70.08,29.58,Medium Risk
30.89,54.64,52.35,Medium Risk
33.21,55.39,40.91,Medium Risk
23.07,64.29,76.31,Medium Risk
17.05,82.38,31.87,Medium Risk
32.68,57.64,56.23,Low Risk
23.49,55.91,14.14,Medium Risk
34.77,62.44,75.64,Medium Risk
39.2,73.16,78.37,Medium Risk
15.82,23.25,62.22,Medium Risk
31.62,55.11,37.45,Medium Risk
21.63,54.03,29.02,Medium Risk
41.75,89.66,67.73,Medium Risk
22.82,55.09,60.65,Low Risk
33.74,55.67,28.43,Medium Risk
31.56,89.52,41.06,Medium Risk
27.7,52.2,42.59,Medium Risk
35.98,30.88,67.12,Medium Risk
37.09,37.09,60.35,Medium Risk
32.66,23.97,54.86,Medium Risk
38.28,22.92,55.71,High Risk
44.19,50.6,30.74,Medium Risk
26.64,69.08,36.9,Medium Risk
30.73,70.73,13.11,Medium Risk
15.76,23.43,66.75,Medium Risk
39.64,59.47,44.12,Medium Risk
29.95,32.09,41.15,Medium Risk
26.6,84.35,27.35,Medium Risk
18.14,29.36,24.92,Medium Risk
41.64,63.74,53.11,Medium Risk
25.53,42.89,25.38,Medium Risk
35.74,64.28,14.08,High Risk
18.18,51.07,61.42,Medium Risk
43.18,71.64,34.58,Medium Risk
21.3,36.71,35.84,Medium Risk
22.26,83.53,40.11,Medium Risk
39.92,52.21,69.71,Medium Risk
42.15,70.55,33.26,Medium Risk
21.39,79.5,61.69,Low Risk
30.34,90.0,74.68,Medium Risk
36.66,36.72,58.32,Medium Risk
41.02,36.98,41.91,Medium Risk
27.46,31.93,62.39,Medium Risk
30.25,39.72,41.39,Medium Risk
37.76,60.6,40.7,Medium Risk
35.9,90.0,45.28,Medium Risk
38.37,87.73,32.83,Medium Risk
30.94,57.5,20.71,Medium Risk
17.4,66.26,39.35,Medium Risk
42.71,79.39,17.51,High Risk
40.93,84.54,39.35,Medium Risk
38.72,34.32,48.28,Medium Risk
17.47,57.97,73.06,Medium Risk
20.98,78.27,13.59,Medium Risk
37.52,42.98,55.18,Medium Risk
16.38,49.96,41.58,Medium Risk
42.54,86.6,10.85,High Risk
25.73,90.0,26.03,Medium Risk
36.69,82.34,18.07,High Risk
41.56,74.87,24.33,High Risk
27.12,38.72,27.7,Medium Risk
24.76,42.58,40.93,Medium Risk
33.05,57.61,47.73,Medium Risk
32.06,59.22,10.93,Medium Risk
27.1,55.31,22.66,Medium Risk
33.86,64.88,17.71,Medium Risk
42.55,44.34,47.86,Medium Risk
28.99,75.83,33.44,Medium Risk
21.03,43.08,47.98,Medium Risk
27.41,44.19,26.19,Medium Risk
26.61,26.43,12.21,Medium Risk
19.6,32.36,75.32,Medium Risk
20.75,78.33,15.59,Medium Risk
35.49,53.89,19.1,High Risk
25.04,34.9,19.95,Medium Risk
43.42,74.52,75.85,Medium Risk
22.13,57.61,54.0,Low Risk
18.57,20.67,54.17,Medium Risk
37.77,41.7,80.0,Medium Risk
41.6,34.7,15.6,High Risk
22.56,62.51,77.41,Medium Risk
20.39,36.88,22.62,Medium Risk
22.07,21.04,53.93,Medium Risk
30.54,21.89,39.71,High Risk
28.51,59.26,35.66,Medium Risk
23.78,20.0,74.92,Medium Risk
16.55,78.09,17.48,Medium Risk
29.85,27.25,80.0,Medium Risk
43.68,60.63,35.38,Medium Risk
34.35,53.29,55.36,Medium Risk
29.75,51.73,75.61,Medium Risk
17.35,25.36,13.16,Medium Risk
22.51,74.39,74.18,Medium Risk
24.05,79.75,49.73,Low Risk
39.24,20.0,60.03,High Risk
41.36,32.42,22.6,Low Risk
40.42,84.84,48.44,High Risk
44.47,60.09,58.59,High Risk
45.0,31.64,44.11,Medium Risk
44.2,32.87,21.7,High Risk
16.59,66.24,27.03,Medium Risk
19.55,70.16,71.32,Medium Risk
23.61,61.6,14.02,Medium Risk
30.64,90.0,60.59,Medium Risk
17.67,51.41,77.78,Medium Risk
40.44,40.6,10.0,High Risk
32.19,55.59,20.86,Medium Risk
30.47,42.54,58.36,Medium Risk
19.97,34.55,14.17,Medium Risk
22.31,22.27,52.99,Medium Risk
20.09,44.25,59.85,Medium Risk
39.71,66.93,52.97,Medium Risk
33.03,22.36,37.37,Medium Risk
36.23,51.94,57.25,Medium Risk
25.03,66.0,52.32,Low Risk
24.94,61.16,23.62,High Risk
26.38,74.52,46.95,Medium Risk
38.09,75.12,71.3,Medium Risk
39.34,69.22,58.67,Medium Risk
21.42,31.07,43.72,Medium Risk
43.64,53.42,35.54,High Risk
18.63,60.1,16.28,Medium Risk
41.17,37.51,30.8,Medium Risk
17.67,20.55,11.05,Medium Risk
22.09,33.49,79.1,Medium Risk
39.5,49.97,23.65,Low Risk
20.67,48.18,68.71,Low Risk
26.62,34.05,21.05,Medium Risk
28.72,78.75,28.88,Medium Risk
21.45,85.74,41.2,Medium Risk
36.51,32.12,34.45,Medium Risk
40.2,84.1,67.58,Medium Risk
42.22,21.74,76.5,High Risk
25.41,83.62,71.19,Medium Risk
31.79,86.13,20.66,Medium Risk
21.92,21.64,65.54,Medium Risk
22.38,72.78,22.69,Medium Risk
19.15,88.32,74.49,Medium Risk
42.91,86.28,49.21,Low Risk
41.46,87.64,34.89,Medium Risk
37.81,60.65,20.64,High Risk
29.68,26.48,12.07,Medium Risk
28.73,76.84,29.92,Medium Risk
29.25,60.98,76.98,Medium Risk
30.36,61.53,67.59,Medium Risk
28.48,47.67,77.92,Medium Risk
17.83,59.87,16.73,Medium Risk
17.81,31.86,52.32,Medium Risk
44.82,74.04,30.51,Medium Risk
29.02,25.81,48.66,Medium Risk
43.82,70.28,33.11,Medium Risk
20.36,75.68,29.92,Medium Risk
32.1,53.2,49.68,Medium Risk
20.17,55.73,22.59,Medium Risk
22.43,42.18,43.04,Medium Risk
15.0,90.0,58.13,Medium Risk
20.28,73.55,18.61,Medium Risk
41.39,47.24,75.22,Medium Risk
23.91,30.5,44.1,Medium Risk
32.52,34.45,68.44,Medium Risk
27.9,52.3,57.82,Low Risk
27.96,84.58,62.14,Medium Risk
32.65,72.29,60.43,Medium Risk
20.28,35.71,72.12,Medium Risk
43.73,78.21,52.72,Medium Risk
37.98,48.63,30.27,Medium Risk
37.08,79.8,17.44,High Risk
28.84,33.81,52.52,Medium Risk
19.13,63.21,14.85,Medium Risk
42.77,85.37,27.57,High Risk
25.52,39.8,13.81,Medium Risk
16.73,67.9,48.06,Medium Risk
25.05,90.0,23.78,Medium Risk
38.06,30.88,56.79,Medium Risk
34.15,23.82,63.55,Medium Risk
37.53,64.65,65.64,Medium Risk
39.43,45.8,30.23,Medium Risk
21.91,27.14,48.27,Medium Risk
41.72,53.85,50.75,Medium Risk
27.14,75.46,43.99,Medium Risk
33.64,41.86,56.12,Medium Risk
15.0,44.68,25.5,Medium Risk
45.0,77.56,77.51,Medium Risk
23.67,59.52,16.5,Medium Risk
